188,198
146,156
79,89
23,33
49,59
55,65
49,59
61,71
146,156
51,61
23,33
132,142
82,92
34,44
61,71
5,15
142,152
26,36
136,146
103,113
130,140
194,204
34,44
2,12
153,163
107,117
92,102
118,128
116,126
15,25
29,39
159,169
199,209
37,47
119,129
22,32
48,58
107,117
99,109
71,81
74,84
99,109
52,62
138,148
17,27
58,68
69,79
62,72
220,230
126,136
67,77
21,31
9,19
15,25
0,10
119,129
149,159
101,111
172,182
100,110
88,98
22,32
83,93
170,180
90,100
4,14
54,64
134,144
43,53
26,36
25,35
80,90
0,10
154,164
37,47
48,58
14,24
24,34
95,105
105,115
81,91
142,152
125,135
55,65
32,42
110,120
64,74
84,94
116,126
96,106
58,68
78,88
9,19
33,43
6,16
212,222
37,47
70,80
173,183
0,10
